name,apparition,affiliations,occupations,origin,status,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty,key,has_D,haki.observation,haki.armament,haki.conqueror
Aristocroc,831.0,bigmompirates,,,Alive,,,,,,wholecakeisland,,aristocroc,0.0,0.0,0.0,0.0
Arlong,69.0,arlongpirates;sunpirates;impeldown,piratecaptain;prisonerofthegreatprison,grandline,Alive,263.0,,F,,,fish-mandistrictarlongpark,20000000.0,arlong,0.0,0.0,0.0,0.0
Arthur,556.0,whitebeardpirates,pirate;captain,,Alive,,,,,,,,arthur,0.0,0.0,0.0,0.0
Ashura Doji,920.0,mt.atamathieves;kouzukifamily;nineredscabbards;ninja-pirate-mink-samuraialliance,bandit;retainerofthekouzukifamily;yakuzaboss;samurai,grandline,Deceased,544.0,,X,,,wanocountry,,ashuradoji,0.0,1.0,1.0,0.0
Aswa,163.0,neutralcivilian,,,Unknown,,,,,,arabasta,,aswa,0.0,0.0,0.0,0.0
AtatchiAttach,436.0,worldeconomynewspaper;marinesphotographydepartment,reporter;marinephotographydepartmentchief,,Unknown,,,,,,,,atatchiattach,0.0,0.0,0.0,0.0
Atlas,1062.0,marines,,grandline,Alive,729.0,,S,,,egghead,,atlas,0.0,0.0,0.0,0.0
Atmos,553.0,whitebeardpirates,13thdivisioncommander;pirate,westblue,Alive,,,,,,,,atmos,0.0,0.0,0.0,0.0
Avalo Pizarro,575.0,blackbeardpirates;impeldown,pirate;titaniccaptain;prisonerofthegreatprison;king,northblue,Alive,505.0,,X,Isle-Isle Fruit,Paramecia,hachinosu,,avalopizarro,0.0,0.0,0.0,0.0
Babanuki,934.0,beastspirates;tama;ninja-pirate-mink-samuraialliance,shinuchi;wardenoftheprisonermine,,Alive,,,,Elephant Smile,Artificial Zoan,,,babanuki,0.0,0.0,0.0,0.0
Babe,160.0,newspiderscafe;baroqueworks,cafedeliveryboy;officeragent,grandline,Alive,218.0,,F,,,,3200000.0,babe,0.0,0.0,0.0,0.0
Baburu,690.0,,,grandline,Alive,,,,,,,,baburu,0.0,0.0,0.0,0.0
Baby 5Baby Five,682.0,happonavy;chinjaofamily;strawhatgrandfleet;donquixotepirates,pirate;pirateofficer;servant;assassin,northblue,Alive,181.0,,XF,Arms-Arms Fruit,Paramecia,kuenvillage;spidermiles;dressrosa;kanocountry,,baby5babyfive,0.0,0.0,0.0,0.0
Bacchy,43.0,,,eastblue,Unknown,,,,,,,,bacchy,0.0,0.0,0.0,0.0
"Bacura ,Bakula",516.0,kuja,pet;executioner,calmbelt,Alive,,,,,,amazonlily,,"bacura,bakula",0.0,0.0,0.0,0.0
Baggaly,561.0,whitebeardpirates,piratecaptain,,Alive,,,,,,,,baggaly,0.0,0.0,0.0,0.0
Bancro,967.0,rogerpirates,pirate,,Unknown,,,,,,,,bancro,0.0,0.0,0.0,0.0
Bankina,41.0,,,eastblue,Deceased,,,,,,,,bankina,0.0,0.0,0.0,0.0
Banshee,552.0,spadepirates,,,Alive,,,,,,,,banshee,0.0,0.0,0.0,0.0
Banzaburo,960.0,kouzukifamily,retainerofthekouzukifamily;foodtaster,,Deceased,,,,,,wanocountry,,banzaburo,0.0,0.0,0.0,0.0
Bao Huang,979.0,beastspirates,shinuchi;mary;scheduler,,Alive,,,,Flying Squirrel Smile,Artificial Zoan,,,baohuang,0.0,0.0,0.0,0.0
Bariete,804.0,mokomodukedom;ninja-pirate-mink-samuraialliance,reconsquad;guard,,Alive,,,,,,zou,,bariete,0.0,0.0,0.0,0.0
Barry,552.0,spadepirates,pirate,,Alive,,,,,,,,barry,0.0,0.0,0.0,0.0
Bartholomew Kuma,233.0,revolutionaryarmy;freedomfighters;sevenwarlordsofthesea;sorbetkingdom,armycommanderoftherevolutionaryarmy;slave;warlordofthesea;kingofsorbetkingdom;pastor,southblue,Alive,689.0,,X,Paw-Paw Fruit,Paramecia,sorbetkingdom;baltigo;egghead;marygeoise;sabaodyarchipelago,296000000.0,bartholomewkuma,0.0,0.0,1.0,0.0
Bartolomeo,705.0,bartoclub;hisownmafiafamily;strawhatgrandfleet,captainofthesecondshipofthestrawhatgrandfleet;piratecaptain;mafialeader,eastblue,Unknown,220.0,,X,Barrier-Barrier Fruit,Paramecia,,150000000.0,bartolomeo,0.0,0.0,0.0,0.0
Basil Hawkins,498.0,hawkinspirates;beastspirates,pirate;captain;shinuchi,northblue,Unknown,210.0,,S,Straw-Straw Fruit,Paramecia,,249000000.0,basilhawkins,0.0,1.0,1.0,0.0
Basilisk,528.0,worldgovernment;impeldown,level2guardian,westblue,Alive,,,,,,,,basilisk,0.0,0.0,0.0,0.0
Baskerville,379.0,worldgovernment,chiefjusticesofenieslobby,grandline,Unknown,512.0,,Bas: XAnd: XFKerville: F,,,,,baskerville,0.0,0.0,0.0,0.0
Baskerville,379.0,worldgovernment,chiefjusticesofenieslobby,grandline,Unknown,512.0,,Bas: XAnd: XFKerville: F,,,,,baskerville,0.0,0.0,0.0,0.0
Baskerville,379.0,worldgovernment,chiefjusticesofenieslobby,grandline,Unknown,512.0,,Bas: XAnd: XFKerville: F,,,,,baskerville,0.0,0.0,0.0,0.0
Bastille,553.0,marines,viceadmiral,grandline,Alive,291.0,,F,,,,,bastille,0.0,1.0,1.0,0.0
Bat-Man Batman,914.0,beastspirates,gifter,,Alive,,,,Bat Smile,Artificial Zoan,,,bat-manbatman,0.0,0.0,0.0,0.0
Baxcon,718.0,tontattakingdomscoutingunit;tontattapirates;strawhatgrandfleet,scout;pirate,,Alive,,,,,,,,baxcon,0.0,0.0,0.0,0.0
Bazeko,668.0,marines;g-5,marineofficer,,Alive,,,,,,g-5,,bazeko,0.0,0.0,0.0,0.0
BB BB,805.0,mokomodukedom;guardians;;ninja-pirate-mink-samuraialliance,guardian,,Alive,,,,,,zou,,bbbb,0.0,0.0,0.0,0.0
Beer VI,823.0,,kingoftheroshwankingdom,,Alive,,,,,,roshwankingdom,,beervi,0.0,0.0,0.0,0.0
Beeyo,658.0,,,,Alive,,,,,,,,beeyo,0.0,0.0,0.0,0.0
Bekori,1097.0,,king,,Unknown,,,,,,sorbetkingdom,,bekori,0.0,0.0,0.0,0.0
Belladonna,514.0,kuja,doctor,calmbelt,Alive,,,,,,amazonlily,,belladonna,0.0,0.0,0.0,0.0
Bellamy,222.0,donquixotepirates;bellamypirates,dyer;piratecaptain,,Alive,240.0,,F,Boing-Boing Fruit,Paramecia,dressrosanotice,55000000.0,bellamy,0.0,1.0,1.0,0.0
Belle-Mère,77.0,marines,mikanfarmer;marineofficer,eastblue,Deceased,186.0,,S,,,cocoyasivillage,,belle-mère,0.0,0.0,0.0,0.0
Belo Betty,904.0,revolutionaryarmy,eastarmycommanderoftherevolutionaryarmy,eastblue,Alive,196.0,,XF,Pump-Pump Fruit,Paramecia,baltigo;momoiroisland,457000000.0,belobetty,0.0,1.0,1.0,0.0
Benn Beckman,1.0,redhairpirates,pirate;firstmate,northblue,Alive,206.0,,X,,,,,bennbeckman,0.0,0.0,1.0,0.0
Bent,1134.0,walrusschool,student,,Alive,,,,,,elbaph,,bent,0.0,0.0,0.0,0.0
Bentham,129.0,newkamaland;baroqueworks,queenofnewkamaland;officeragent;prisonerofthegreatprison,eastblue,Alive,238.0,,F,Clone-Clone Fruit,Paramecia,,32000000.0,bentham,0.0,0.0,0.0,0.0
Bepo,498.0,heartpirates;ninja-pirate-mink-samuraialliance,pirate;navigator;guardians'helper,zou,Alive,240.0,,S,,,zou;swallowisland,500.0,bepo,0.0,0.0,0.0,0.0
BeretBellett,537.0,unnamedkingdom,pirate;prince,,Alive,,,,,,,,beretbellett,0.0,0.0,0.0,0.0
Berry,,,,,,,,,,,,,berry,0.0,0.0,0.0,0.0
Berry,,,,,,,,,,,,,berry,0.0,0.0,0.0,0.0
Berry,,,,,,,,,,,,,berry,0.0,0.0,0.0,0.0
Berry Good,426.0,marines,marinecaptain,,Alive,,,,Berry-Berry Fruit,Paramecia,,,berrygood,0.0,0.0,0.0,0.0
Bian,717.0,tontattakingdom;tontattapirates;strawhatgrandfleet,leaderofpinkbeesquad;pirate,,Alive,,,,"Bug-Bug Fruit, Model: Hornet",Zoan,,,bian,0.0,0.0,0.0,0.0
Biblo,1134.0,owllibrary,chieflibrarian,elbaph,Alive,,,,Grow-Grow Fruit,Paramecia,,,biblo,0.0,0.0,0.0,0.0
Big Bun,309.0,foxypirates;groggymonsters,pirate;combatant,,Alive,,,,,,,,bigbun,0.0,0.0,0.0,0.0
Bimine,657.0,,mayor,,Alive,,,,,,pucci,,bimine,0.0,0.0,0.0,0.0
Bingoh,928.0,,priest;cooper;graverobber,,Alive,,,,,,wanocountry,,bingoh,0.0,0.0,0.0,0.0
Birdy,101.0,poseidon,,,Alive,,,,,,calmbelt,,birdy,0.0,0.0,0.0,0.0
Bishamon,931.0,beastspirates;orochioniwabanshu;kurozumifamily,ninja;pirate,wanocountry,Alive,182.0,,XF,,,flowercapital;wanocountry,,bishamon,0.0,0.0,0.0,0.0
Bizarre,553.0,subordinateofthewhitebeardpirates,pirate;captain,,Alive,,,,,,,,bizarre,0.0,0.0,0.0,0.0
Bjorn,1134.0,walrusschool,student,,Alive,,,,,,elbaph,,bjorn,0.0,0.0,0.0,0.0
Blackbeard,276.0,,doctor,,Unknown,,,,,,,,blackbeard,0.0,0.0,0.0,0.0
Black Maria,977.0,beastspirates,shinuchi;brothelowner,wanocountry,Alive,820.0,,S,"Spider-Spider Fruit, Rosamygale grauvogeli Model",Ancient Zoan,onigashima,480000000.0,blackmaria,0.0,1.0,1.0,0.0
Blade,1142.0,walrusschool,mathteacher,,Alive,,,,,,elbaph,,blade,0.0,0.0,0.0,0.0
Blamenco,553.0,whitebeardpirates,6thdivisioncommander;pirate,southblue,Alive,,,,Pocket-Pocket Fruit[4],Paramecia,,,blamenco,0.0,0.0,0.0,0.0
Blenheim,553.0,whitebeardpirates,9thdivisioncommander;pirate,grandline,Alive,,,,,,,,blenheim,0.0,0.0,0.0,0.0
Blockhead,334.0,,,,Alive,,,,,,water7,,blockhead,0.0,0.0,0.0,0.0
Blondie,558.0,subordinateofthewhitebeardpirates,pirate;captain,,Alive,,,,,,,,blondie,0.0,0.0,0.0,0.0
Bluefan,516.0,kuja;kujapirates,pirate,calmbelt,Alive,,,,,,amazonlily,,bluefan,0.0,0.0,0.0,0.0
Blue Gilly,706.0,ideopirates;strawhatgrandfleet,martialartist;pirate,grandline,Alive,314.0,,S,,,,,bluegilly,0.0,0.0,0.0,0.0
Bluegrass,1089.0,marines,viceadmiral,,Alive,,,,Ride-Ride Fruit,Paramecia,,,bluegrass,0.0,0.0,0.0,0.0
Bluejam,584.0,bluejampirates,pirate;captain,eastblue,Unknown,261.0,,X,,,,14300000.0,bluejam,0.0,0.0,0.0,0.0
Bluemarine,967.0,rogerpirates,pirate,,Unknown,,,,,,,,bluemarine,0.0,0.0,0.0,0.0
Blueno,325.0,cp0;cp9,cipherpolagent;bartender,northblue,Alive,258.0,,X,Door-Door Fruit,Paramecia,,,blueno,0.0,1.0,1.0,0.0
Boa Hancock,516.0,kuja;sevenwarlordsofthesea,piratecaptain;empressofamazonlily;warlordofthesea;slave,calmbelt,Alive,191.0,,S,Love-Love Fruit,Paramecia,amazonlilymarygeoise,80000000.0,boahancock,0.0,1.0,1.0,1.0
Boa Marigold,516.0,kuja,rulerofamazonlily;slave,calmbelt,Alive,432.0,,S,Snake-Snake Fruit King Cobra Model,Zoan,amazonlilymarygeoise,40000000.0,boamarigold,0.0,1.0,1.0,0.0
Boa Sandersonia,516.0,kuja,rulerofamazonlily;slave,calmbelt,Alive,453.0,,S,Snake-Snake Fruit Anaconda Model,Zoan,amazonlilymarygeoise,40000000.0,boasandersonia,0.0,1.0,1.0,0.0
Bobbin,651.0,bigmompirates,combatant,,Unknown,,,,,,wholecakeisland,105500000.0,bobbin,0.0,0.0,0.0,0.0
Bobby Funk,704.0,mogarokingdom,assassin,grandline,Alive,320.0,,X,,,,36000000.0,bobbyfunk,0.0,0.0,0.0,0.0
Bobomba,711.0,tontattakingdom;strawhatgrandfleet,,,Alive,,,,,,,,bobomba,0.0,0.0,0.0,0.0
Bogard,92.0,,commissionedmarineofficer,,Alive,,,,,,,,bogard,0.0,0.0,0.0,0.0
Bomba,711.0,tontattakingdom;tontattapirates;strawhatgrandfleet,vicechief;pirate,,Alive,,,,,,,,bomba,0.0,0.0,0.0,0.0
Bongoh,928.0,,lumberdealer;graverobber,,Alive,,,,,,wanocountry,,bongoh,0.0,0.0,0.0,0.0
Bonk Punch,1.0,redhairpirates,pirate;seniorofficer;musician,,Alive,,,,,,,,bonkpunch,0.0,0.0,0.0,0.0
Boo,704.0,happonavy;chinjaofamily;strawhatgrandfleet,firstmateofthehapponavy;martialartist,,Alive,,,,,,kanocountry,,boo,0.0,0.0,1.0,0.0
Boodle,12.0,,mayor,eastblue,Alive,172.0,,F,,,orangetown,,boodle,0.0,0.0,0.0,0.0
Boogie,1038.0,kidpirates,pirate,,Unknown,,,,,,,,boogie,0.0,0.0,0.0,0.0
Borsalino,504.0,marines,admiral;viceadmiral,northblue,Alive,302.0,,XF,Glint-Glint Fruit,Logia,,,borsalino,0.0,1.0,1.0,0.0
Boss,233.0,,digger,,Alive,,,,,,,,boss,0.0,0.0,0.0,0.0
Bouche,880.0,wci31;bigmompirates,headchef,,Alive,,,,,,,,bouche,0.0,0.0,0.0,0.0
Boxer,245.0,wapol;evilblackdrumkingdom,pet,,Alive,,,,,,,,boxer,0.0,0.0,0.0,0.0
Braham,249.0,shandia;god'sguards,shandiawarrior;god'sguard,skyislands,Alive,179.0,,X,,,,,braham,0.0,0.0,0.0,0.0
Brandnew,96.0,marines,commodore;lieutenantcommander,grandline,Alive,190.0,,X,,,,,brandnew,0.0,0.0,0.0,0.0
Brew,561.0,whitebeardpirates,pirate;captain,,Alive,,,,,,,,brew,0.0,0.0,0.0,0.0
Briscola,993.0,beastspirates,shinuchi,,Alive,,,,Gorilla Smile,Artificial Zoan,,,briscola,0.0,0.0,0.0,0.0
Brocca,561.0,whitebeardpirates,pirate;captain,,Alive,,,,,,,,brocca,0.0,0.0,0.0,0.0
Brogy,115.0,giantwarriorpirates,piratecaptain,grandline,Alive,2130.0,,F,,,elbaphlittlegarden,100000000.0,brogy,0.0,0.0,0.0,0.0
Brontosaurus,115.0,,,grandline,Deceased,,,,,,littlegarden,,brontosaurus,0.0,0.0,0.0,0.0
Brook,442.0,strawhatpirates;strawhatgrandfleet;rumbarpirates;ninja-pirate-mink-samuraialliance,musician;swordsman;seniorofficer;piratecaptain;battleconvoyleader;world-famousrockstar,westblue,Alive,266.0,,X,Revive-Revive Fruit,Paramecia,floriantriangle;namakuraisland,33000000.0,brook,0.0,0.0,0.0,0.0
Browndros Beardriguez Chadros Higelyges,581.0,caesarclown;centaurpatrolunit;brownbeardpirates,leaderofthecentaurpatrolunit;piratecaptain,grandline,Alive,691.0,,S,,,,80060000.0,browndrosbeardriguezchadroshigelyges,0.0,0.0,0.0,0.0
Bubblegum,1029.0,kidpirates,pirate,,Unknown,,,,,,,,bubblegum,0.0,0.0,0.0,0.0
Buckingham Stussy,802.0,rockspirates;mads,pirate;scientist,grandline,Alive,68.0,,S,,,,,buckinghamstussy,0.0,0.0,0.0,0.0
Buckox,22.0,animalsoftheislandofrareanimals,,eastblue,Alive,,,,,,islandofrareanimals,,buckox,0.0,0.0,0.0,0.0
Buffalo,692.0,donquixotepirates,pirateofficer;assassin,northblue,Alive,696.0,,F,Spin-Spin Fruit,Paramecia,spidermiles;dressrosa,,buffalo,0.0,0.0,0.0,0.0
Buggy,9.0,crossguild;buggy'sdelivery?;buggypirates;buggyandalvidaalliance;fouremperors;sevenwarlordsofthesea;rogerpirates;impeldown,piratecaptain;emperor;figureheadpresidentofcrossguild;chairmanofbuggy'sdelivery;warlordofthesea;apprentice;prisonerofthegreatprison,grandline,Alive,192.0,,F,Chop-Chop Fruit,Paramecia,karaibariisland;orangetown,15000000.0,buggy,0.0,0.0,0.0,0.0
Building Snake,41.0,redhairpirates,pirate;seniorofficer;navigator,,Alive,,,,,,,,buildingsnake,0.0,0.0,0.0,0.0
Bulldog,1099.0,,king,,Alive,,,,,,sorbetkingdom,,bulldog,0.0,0.0,0.0,0.0
Bunbuku,911.0,,,,Alive,,,,"Dog-Dog Fruit, Model Tanuki",Zoan,amigasavillage;wanocountry,,bunbuku,0.0,0.0,0.0,0.0
Bunchi Bunch,114.0,baroqueworks,transportation,westblue,Alive,,,,,,,,bunchibunch,0.0,0.0,0.0,0.0
Bungoh,928.0,,arsonist;graverobber,,Alive,,,,,,wanocountry,,bungoh,0.0,0.0,0.0,0.0
Bunkov,537.0,newkamaland,dancer;prisonerofthegreatprison,,Alive,,,,,,,,bunkov,0.0,0.0,0.0,0.0
Bunny Joe,546.0,revolutionaryarmy,revolutionary,,Alive,,,,,,,,bunnyjoe,0.0,0.0,0.0,0.0
Burn Scar The Man with the Burn Scar,1056.0,,,,Alive,,,,,,,,burnscarthemanwiththeburnscar,0.0,0.0,0.0,0.0
Burr,533.0,marinesg-1branch,marinelieutenant,,Alive,,,,,,g-1,1000000.0,burr,0.0,0.0,0.0,0.0
Bushon,361.0,,stationmanager,,Alive,,,,,,,,bushon,0.0,0.0,0.0,0.0
Busshiri,391.0,oharaarchaeologists,archaeologist,,Deceased,,,,,,,,busshiri,0.0,0.0,0.0,0.0
ButchieBuchi,31.0,blackcatpirates,pirateofficer;shipguard,eastblue,Alive,216.0,,X,,,,,butchiebuchi,0.0,0.0,0.0,0.0
Byron,501.0,,musician;pirate;slave,westblue,Alive,192.0,130.0,,,,toroa,,byron,0.0,0.0,0.0,0.0
Cabaji,9.0,crossguild;buggy'sdelivery;buggyandalvidaalliance;buggypirates,pirate;chiefofstaff;acrobat;swordsman,eastblue,Alive,208.0,,X,,,karaibariisland,,cabaji,0.0,0.0,0.0,0.0
Caesar Clown,658.0,germakingdom;neomads;firetankpirates;donquixotepirates;marinesandworldgovernment;mads,scientist,grandline,Alive,309.0,,X,Gas-Gas Fruit,Logia[13],punkhazard,300000000.0,caesarclown,0.0,0.0,0.0,0.0
Caiman Lady,1004.0,beastspirates,gifter;mary,,Alive,,,,Caiman Smile,Artificial Zoan,,,caimanlady,0.0,0.0,0.0,0.0
Calicoach,842.0,,steed,,Alive,,,,,,germakingdom,,calicoach,0.0,0.0,0.0,0.0
Camel,695.0,blackbeardpirates;kuzan,kuzan'stravelingcompanion,,Alive,,,,,,,,camel,0.0,0.0,0.0,0.0
Camie,195.0,takoyaki8;mermaidcafe,fashiondesigningapprenticetakoyakisellerwaitressatmermaidcafe,grandline,Alive,197.0,,X,,,mermaidcove,,camie,0.0,0.0,0.0,0.0
Cancer,96.0,marines,viceadmiral,,Alive,,,,,,,,cancer,0.0,0.0,0.0,0.0
Cans,569.0,allyofthewhitebeardpirates,pirate;captain,,Alive,,,,,,,,cans,0.0,0.0,0.0,0.0
Capone Bege,498.0,firetankpirates;bigmompirates,pirate;captain;mafiadon;combatant,westblue,Alive,166.0,,S,Castle-Castle Fruit,Paramecia,,138000000.0,caponebege,0.0,0.0,0.0,0.0
Capone Pez,834.0,firetankpirates;charlottefamily,,,Alive,,,,,,,,caponepez,0.0,0.0,0.0,0.0
Capote,306.0,foxypirates,pirate;combatant,,Alive,,,,,,,,capote,0.0,0.0,0.0,0.0
Carelesso,4.0,marines,marineseamanrecruit,eastblue,Alive,,,,,,shellstown,100000.0,carelesso,0.0,0.0,0.0,0.0
Caribou,600.0,cariboupirates;fakestrawhatcrew;ninja-pirate-mink-samuraialliance,piratecaptain;kidnapper,northblue,Alive,228.0,,XF,Swamp-Swamp Fruit,Logia,,210000000.0,caribou,0.0,0.0,0.0,0.0
Carmel,861.0,underworld;sheep'shouse,childtrafficker;caretakerofsheep'shouse,westblue,Deceased,185.0,,S,Soul-Soul Fruit,Paramecia,elbaphwholecakeisland,,carmel,0.0,0.0,0.0,0.0
Carne,45.0,baratie,charcutier,eastblue,Alive,171.0,,S,,,,,carne,0.0,0.0,0.0,0.0
Carrot,804.0,mokomodukedom;inuarashimusketeersquad;ninja-pirate-mink-samuraialliance,musketeer;kingsbird;rulerofmokomodukedom,grandline,Alive,161.0,,F,,,zou,,carrot,0.0,0.0,0.0,0.0
CarrotNinjin,23.0,usopppirates,pretendpirate,eastblue,Alive,127.0,,X,,,syrupvillage,,carrotninjin,0.0,0.0,0.0,0.0
Catacombo,602.0,marines≠,rearadmiral,,Alive,,,,,,sabaodyarchipelago≠,,catacombo,0.0,0.0,0.0,0.0
Catarina Devon,575.0,blackbeardpirates;impeldown,pirate;titaniccaptain;prisonerofthegreatprison,southblue,Alive,361.0,,F,"Dog-Dog Fruit, Model: Nine Tailed Fox",Mythical Zoan,hachinosu,,catarinadevon,0.0,0.0,0.0,0.0
Cat ViperNekomamushi,809.0,mokomodukedom;guardians;kouzukifamily;ninja-pirate-mink-samuraialliance;nineredscabbards;rogerpirates;whitebeardpirates,rulerofmokomodukedom;guardianofthewhaleforest;retainer;samurai;pirateapprentice,grandline,Alive,522.0,,S,,,zouwanocountry,,catvipernekomamushi,0.0,0.0,0.0,0.0
Cavendish,704.0,beautifulpirates;strawhatgrandfleet;bourgeoiskingdom,captainofthefirstshipofthestrawhatgrandfleet;piratecaptain;princeofthebourgeoiskingdom,grandline,Alive,208.0,,XF,,,bourgeoiskingdom,280000000.0,cavendish,0.0,1.0,1.0,0.0
CB Gallant,966.0,rogerpirates,pirate,,Unknown,,,,,,,,cbgallant,0.0,0.0,0.0,0.0
Cerberus,444.0,thrillerbarkpirates,wildzombie,,Deceased,,,,,,,,cerberus,0.0,0.0,0.0,0.0
Cerberus,1137.0,god'sknights,figarlandshamrock'ssword,,Alive,,,,,,,,cerberus,0.0,0.0,0.0,0.0
Chabo,69.0,nojiko'smikanfarm,laborer,eastblue,Alive,,,,,,gosavillage;cocoyasivillage,,chabo,0.0,0.0,0.0,0.0
Chaka,155.0,arabastakingdom,commanderofroyalguards,grandline,Alive,213.0,,S,"Dog-Dog Fruit, Model: Jackal",Zoan,,,chaka,0.0,0.0,0.0,0.0
Chao,738.0,tontattakingdom;smilefactorytontattapirates,factoryworker;pirate,,Alive,,,,,,,,chao,0.0,0.0,0.0,0.0
Chappe,668.0,caesarclown,,,Alive,,,,,,,,chappe,0.0,0.0,0.0,0.0
Charlotte Akimeg,894.0,charlottefamily;bigmompirates,pirate;officer,,Alive,,,,,,,,charlotteakimeg,0.0,0.0,0.0,0.0
Charlotte Allmeg,894.0,charlottefamily;bigmompirates,pirate;officer,,Alive,,,,,,,,charlotteallmeg,0.0,0.0,0.0,0.0
Charlotte Amande,827.0,charlottefamily;bigmompirates,pirateofficer;ministerofnuts,,Alive,,,,,,nutsisland,,charlotteamande,0.0,0.0,0.0,0.0
Charlotte Anana,845.0,charlottefamily;bigmompirates,,,Alive,,,,,,,,charlotteanana,0.0,0.0,0.0,0.0
Charlotte Angel,860.0,charlottefamily;bigmompirates,pirateofficer,grandline,Alive,,,,,,tottoland,,charlotteangel,0.0,0.0,0.0,0.0
Charlotte Anglaise,845.0,charlottefamily;bigmompirates,,,Alive,,,,,,,,charlotteanglaise,0.0,0.0,0.0,0.0
Charlotte Basans,862.0,charlottefamily;bigmompirates,pirateofficer,,Alive,,,,,,,,charlottebasans,0.0,0.0,0.0,0.0
