name,apparition,affiliations,occupations,origin,status,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty,has_D,key,haki.observation,haki.armament,haki.conqueror
BeretBellett,537.0,unnamedkingdom,pirate;prince,,Alive,,,,,,,,0.0,beretbellett,0.0,0.0,0.0
Berry,,,,,,,,,,,,,0.0,berry,0.0,0.0,0.0
Berry,,,,,,,,,,,,,0.0,berry,0.0,0.0,0.0
Berry,,,,,,,,,,,,,0.0,berry,0.0,0.0,0.0
Berry Good,426.0,marines,marinecaptain,,Alive,,,,Berry-Berry Fruit,Paramecia,,,0.0,berrygood,0.0,0.0,0.0
Bian,717.0,tontattakingdom;tontattapirates;strawhatgrandfleet,leaderofpinkbeesquad;pirate,,Alive,,,,"Bug-Bug Fruit, Model: Hornet",Zoan,,,0.0,bian,0.0,0.0,0.0
Biblo,1134.0,owllibrary,chieflibrarian,elbaph,Alive,,,,Grow-Grow Fruit,Paramecia,,,0.0,biblo,0.0,0.0,0.0
Big Bun ;Big Pan,309.0,foxypirates;groggymonsters,pirate;combatant,,Alive,,,,,,,,0.0,bigbun;bigpan,0.0,0.0,0.0
Bimine,657.0,,mayor,,Alive,,,,,,pucci,,0.0,bimine,0.0,0.0,0.0
Bingoh,928.0,,priest;cooper;graverobber,,Alive,,,,,,wanocountry,,0.0,bingoh,0.0,0.0,0.0
Birdy ;Bird Neptunian,101.0,poseidon,,,Alive,,,,,,calmbelt,,0.0,birdy;birdneptunian,0.0,0.0,0.0
Bishamon,931.0,beastspirates;orochioniwabanshu;kurozumifamily,ninja;pirate,wanocountry,Alive,182.0,,XF,,,flowercapital;wanocountry,,0.0,bishamon,0.0,0.0,0.0
Bizarre,553.0,subordinateofthewhitebeardpirates,pirate;captain,,Alive,,,,,,,,0.0,bizarre,0.0,0.0,0.0
Bjorn,1134.0,walrusschool,student,,Alive,,,,,,elbaph,,0.0,bjorn,0.0,0.0,0.0
Blackbeard,276.0,,doctor,,Unknown,,,,,,,,0.0,blackbeard,0.0,0.0,0.0
Black Maria,977.0,beastspirates,shinuchi;brothelowner,wanocountry,Alive,820.0,,S,"Spider-Spider Fruit, Rosamygale grauvogeli Model",Ancient Zoan,onigashima,480000000.0,0.0,blackmaria,1.0,1.0,0.0
Blade,1142.0,walrusschool,mathteacher,,Alive,,,,,,elbaph,,0.0,blade,0.0,0.0,0.0
Blamenco,553.0,whitebeardpirates,6thdivisioncommander;pirate,southblue,Alive,,,,Pocket-Pocket Fruit[4],Paramecia,,,0.0,blamenco,0.0,0.0,0.0
Blenheim,553.0,whitebeardpirates,9thdivisioncommander;pirate,grandline,Alive,,,,,,,,0.0,blenheim,0.0,0.0,0.0
Blockhead,334.0,,,,Alive,,,,,,water7,,0.0,blockhead,0.0,0.0,0.0
Blondie,558.0,subordinateofthewhitebeardpirates,pirate;captain,,Alive,,,,,,,,0.0,blondie,0.0,0.0,0.0
Bluefan,516.0,kuja;kujapirates,pirate,calmbelt,Alive,,,,,,amazonlily,,0.0,bluefan,0.0,0.0,0.0
Blue Gilly ;Bluegilly,706.0,ideopirates;strawhatgrandfleet,martialartist;pirate,grandline,Alive,314.0,,S,,,,,0.0,bluegilly;bluegilly,0.0,0.0,0.0
Bluegrass,1089.0,marines,viceadmiral,,Alive,,,,Ride-Ride Fruit,Paramecia,,,0.0,bluegrass,0.0,0.0,0.0
Bluejam,584.0,bluejampirates,pirate;captain,eastblue,Unknown,261.0,,X,,,,14300000.0,0.0,bluejam,0.0,0.0,0.0
Bluemarine,967.0,rogerpirates,pirate,,Unknown,,,,,,,,0.0,bluemarine,0.0,0.0,0.0
Blueno,325.0,cp0;cp9,cipherpolagent;bartender,northblue,Alive,258.0,,X,Door-Door Fruit,Paramecia,,,0.0,blueno,1.0,1.0,0.0
Boa Hancock,516.0,kuja;sevenwarlordsofthesea,piratecaptain;empressofamazonlily;warlordofthesea;slave,calmbelt,Alive,191.0,,S,Love-Love Fruit,Paramecia,amazonlilymarygeoise,80000000.0,0.0,boahancock,1.0,1.0,1.0
Boa Marigold,516.0,kuja,rulerofamazonlily;slave,calmbelt,Alive,432.0,,S,Snake-Snake Fruit King Cobra Model,Zoan,amazonlilymarygeoise,40000000.0,0.0,boamarigold,1.0,1.0,0.0
Boa Sandersonia,516.0,kuja,rulerofamazonlily;slave,calmbelt,Alive,453.0,,S,Snake-Snake Fruit Anaconda Model,Zoan,amazonlilymarygeoise,40000000.0,0.0,boasandersonia,1.0,1.0,0.0
Bobbin,651.0,bigmompirates,combatant,,Unknown,,,,,,wholecakeisland,105500000.0,0.0,bobbin,0.0,0.0,0.0
Bobby Funk,704.0,mogarokingdom,assassin,grandline,Alive,320.0,,X,,,,36000000.0,0.0,bobbyfunk,0.0,0.0,0.0
Bobomba,711.0,tontattakingdom;strawhatgrandfleet,,,Alive,,,,,,,,0.0,bobomba,0.0,0.0,0.0
Bogard,92.0,,commissionedmarineofficer,,Alive,,,,,,,,0.0,bogard,0.0,0.0,0.0
Bomba,711.0,tontattakingdom;tontattapirates;strawhatgrandfleet,vicechief;pirate,,Alive,,,,,,,,0.0,bomba,0.0,0.0,0.0
Bongoh,928.0,,lumberdealer;graverobber,,Alive,,,,,,wanocountry,,0.0,bongoh,0.0,0.0,0.0
Bonk Punch,1.0,redhairpirates,pirate;seniorofficer;musician,,Alive,,,,,,,,0.0,bonkpunch,0.0,0.0,0.0
Boo,704.0,happonavy;chinjaofamily;strawhatgrandfleet,firstmateofthehapponavy;martialartist,,Alive,,,,,,kanocountry,,0.0,boo,0.0,1.0,0.0
Boodle,12.0,,mayor,eastblue,Alive,172.0,,F,,,orangetown,,0.0,boodle,0.0,0.0,0.0
Boogie,1038.0,kidpirates,pirate,,Unknown,,,,,,,,0.0,boogie,0.0,0.0,0.0
Borsalino,504.0,marines,admiral;viceadmiral,northblue,Alive,302.0,,XF,Glint-Glint Fruit,Logia,,,0.0,borsalino,1.0,1.0,0.0
Boss,233.0,,digger,,Alive,,,,,,,,0.0,boss,0.0,0.0,0.0
Bouche,880.0,wci31;bigmompirates,headchef,,Alive,,,,,,,,0.0,bouche,0.0,0.0,0.0
Boxer,245.0,wapol;evilblackdrumkingdom,pet,,Alive,,,,,,,,0.0,boxer,0.0,0.0,0.0
Braham,249.0,shandia;god'sguards,shandiawarrior;god'sguard,skyislands,Alive,179.0,,X,,,,,0.0,braham,0.0,0.0,0.0
Brandnew ;Brannew,96.0,marines,commodore;lieutetcommander,grandline,Alive,190.0,,X,,,,,0.0,brandnew;brannew,0.0,0.0,0.0
Brew,561.0,whitebeardpirates,pirate;captain,,Alive,,,,,,,,0.0,brew,0.0,0.0,0.0
Briscola,993.0,beastspirates,shinuchi,,Alive,,,,Gorilla Smile,Artificial Zoan,,,0.0,briscola,0.0,0.0,0.0
Brocca,561.0,whitebeardpirates,pirate;captain,,Alive,,,,,,,,0.0,brocca,0.0,0.0,0.0
Brogy ;Broggy,115.0,giantwarriorpirates,piratecaptain,grandline,Alive,2130.0,,F,,,elbaphlittlegarden,100000000.0,0.0,brogy;broggy,0.0,0.0,0.0
Brontosaurus,115.0,,,grandline,Deceased,,,,,,littlegarden,,0.0,brontosaurus,0.0,0.0,0.0
Brook,442.0,strawhatpirates;strawhatgrandfleet;rumbarpirates;ninja-pirate-mink-samuraialliance,musician;swordsman;seniorofficer;piratecaptain;battleconvoyleader;world-famousrockstar,westblue,Alive,266.0,,X,Revive-Revive Fruit,Paramecia,floriantriangle;namakuraisland,33000000.0,0.0,brook,0.0,0.0,0.0
Browndros Beardriguez Chadros Higelyges,581.0,caesarclown;centaurpatrolunit;brownbeardpirates,leaderofthecentaurpatrolunit;piratecaptain,grandline,Alive,691.0,,S,,,,80060000.0,0.0,browndrosbeardriguezchadroshigelyges,0.0,0.0,0.0
Bubblegum,1029.0,kidpirates,pirate,,Unknown,,,,,,,,0.0,bubblegum,0.0,0.0,0.0
Buckingham Stussy,802.0,rockspirates;mads,pirate;scientist,grandline,Alive,68.0,,S,,,,,0.0,buckinghamstussy,0.0,0.0,0.0
Buckox,22.0,animalsoftheislandofrareanimals,,eastblue,Alive,,,,,,islandofrareanimals,,0.0,buckox,0.0,0.0,0.0
Buffalo,692.0,donquixotepirates,pirateofficer;assassin,northblue,Alive,696.0,,F,Spin-Spin Fruit,Paramecia,spidermiles;dressrosa,,0.0,buffalo,0.0,0.0,0.0
Buggy,9.0,crossguild;buggy'sdelivery?;buggypirates;buggyandalvidaalliance;fouremperors;sevenwarlordsofthesea;rogerpirates;impeldown,piratecaptain;emperor;figureheadpresidentofcrossguild;chairmanofbuggy'sdelivery;warlordofthesea;apprentice;prisonerofthegreatprison,grandline,Alive,192.0,,F,Chop-Chop Fruit,Paramecia,karaibariisland;orangetown,15000000.0,0.0,buggy,0.0,0.0,0.0
Building Snake,41.0,redhairpirates,pirate;seniorofficer;navigator,,Alive,,,,,,,,0.0,buildingsnake,0.0,0.0,0.0
Bulldog,1099.0,,king,,Alive,,,,,,sorbetkingdom,,0.0,bulldog,0.0,0.0,0.0
Bunbuku,911.0,,,,Alive,,,,"Dog-Dog Fruit, Model Tanuki",Zoan,amigasavillage;wanocountry,,0.0,bunbuku,0.0,0.0,0.0
Bunchi Bunch,114.0,baroqueworks,transportation,westblue,Alive,,,,,,,,0.0,bunchibunch,0.0,0.0,0.0
Bungoh,928.0,,arsonist;graverobber,,Alive,,,,,,wanocountry,,0.0,bungoh,0.0,0.0,0.0
Bunkov,537.0,newkamaland,dancer;prisonerofthegreatprison,,Alive,,,,,,,,0.0,bunkov,0.0,0.0,0.0
Bunny Joe,546.0,revolutionaryarmy,revolutionary,,Alive,,,,,,,,0.0,bunnyjoe,0.0,0.0,0.0
Burn Scar The Man with the Burn Scar,1056.0,,,,Alive,,,,,,,,0.0,burnscarthemanwiththeburnscar,0.0,0.0,0.0
Burr,533.0,marinesg-1branch,marinelieutet,,Alive,,,,,,g-1,1000000.0,0.0,burr,0.0,0.0,0.0
Bushon,361.0,,stationmanager,,Alive,,,,,,,,0.0,bushon,0.0,0.0,0.0
Busshiri,391.0,oharaarchaeologists,archaeologist,,Deceased,,,,,,,,0.0,busshiri,0.0,0.0,0.0
ButchieBuchi,31.0,blackcatpirates,pirateofficer;shipguard,eastblue,Alive,216.0,,X,,,,,0.0,butchiebuchi,0.0,0.0,0.0
Byron,501.0,,musician;pirate;slave,westblue,Alive,192.0,130.0,,,,toroa,,0.0,byron,0.0,0.0,0.0
Cabaji,9.0,crossguild;buggy'sdelivery;buggyandalvidaalliance;buggypirates,pirate;chiefofstaff;acrobat;swordsman,eastblue,Alive,208.0,,X,,,karaibariisland,,0.0,cabaji,0.0,0.0,0.0
Caesar Clown,658.0,germakingdom;neomads;firetankpirates;donquixotepirates;marinesandworldgovernment;mads,scientist,grandline,Alive,309.0,,X,Gas-Gas Fruit,Logia[13],punkhazard,300000000.0,0.0,caesarclown,0.0,0.0,0.0
Caiman Lady,1004.0,beastspirates,gifter;mary,,Alive,,,,Caiman Smile,Artificial Zoan,,,0.0,caimanlady,0.0,0.0,0.0
Calicoach,842.0,,steed,,Alive,,,,,,germakingdom,,0.0,calicoach,0.0,0.0,0.0
Camel,695.0,blackbeardpirates;kuzan,kuzan'stravelingcompanion,,Alive,,,,,,,,0.0,camel,0.0,0.0,0.0
Camie,195.0,takoyaki8;mermaidcafe,fashiondesigningapprenticetakoyakisellerwaitressatmermaidcafe,grandline,Alive,197.0,,X,,,mermaidcove,,0.0,camie,0.0,0.0,0.0
Cancer,96.0,marines,viceadmiral,,Alive,,,,,,,,0.0,cancer,0.0,0.0,0.0
Cans,569.0,allyofthewhitebeardpirates,pirate;captain,,Alive,,,,,,,,0.0,cans,0.0,0.0,0.0
Capone Bege,498.0,firetankpirates;bigmompirates,pirate;captain;mafiadon;combatant,westblue,Alive,166.0,,S,Castle-Castle Fruit,Paramecia,,138000000.0,0.0,caponebege,0.0,0.0,0.0
Capone Pez,834.0,firetankpirates;charlottefamily,,,Alive,,,,,,,,0.0,caponepez,0.0,0.0,0.0
Capote,306.0,foxypirates,pirate;combatant,,Alive,,,,,,,,0.0,capote,0.0,0.0,0.0
Carelesso ;Ukkari,4.0,marines,marineseamanrecruit,eastblue,Alive,,,,,,shellstown,100000.0,0.0,carelesso;ukkari,0.0,0.0,0.0
Caribou,600.0,cariboupirates;fakestrawhatcrew;ninja-pirate-mink-samuraialliance,piratecaptain;kidnapper,northblue,Alive,228.0,,XF,Swamp-Swamp Fruit,Logia,,210000000.0,0.0,caribou,0.0,0.0,0.0
Carmel,861.0,underworld;sheep'shouse,childtrafficker;caretakerofsheep'shouse,westblue,Deceased,185.0,,S,Soul-Soul Fruit,Paramecia,elbaphwholecakeisland,,0.0,carmel,0.0,0.0,0.0
Carne,45.0,baratie,charcutier,eastblue,Alive,171.0,,S,,,,,0.0,carne,0.0,0.0,0.0
Carrot,804.0,mokomodukedom;inuarashimusketeersquad;ninja-pirate-mink-samuraialliance,musketeer;kingsbird;rulerofmokomodukedom,grandline,Alive,161.0,,F,,,zou,,0.0,carrot,0.0,0.0,0.0
CarrotNinjin,23.0,usopppirates,pretendpirate,eastblue,Alive,127.0,,X,,,syrupvillage,,0.0,carrotninjin,0.0,0.0,0.0
Catacombo,602.0,marines≠,rearadmiral,,Alive,,,,,,sabaodyarchipelago≠,,0.0,catacombo,0.0,0.0,0.0
Catarina Devon;Catalina Devon*,575.0,blackbeardpirates;impeldown,pirate;titaniccaptain;prisonerofthegreatprison,southblue,Alive,361.0,,F,"Dog-Dog Fruit, Model: Nine Tailed Fox",Mythical Zoan,hachinosu,,0.0,catarinadevon;catalinadevon*,0.0,0.0,0.0
Cat ViperNekomamushi,809.0,mokomodukedom;guardians;kouzukifamily;ninja-pirate-mink-samuraialliance;nineredscabbards;rogerpirates;whitebeardpirates,rulerofmokomodukedom;guardianofthewhaleforest;retainer;samurai;pirateapprentice,grandline,Alive,522.0,,S,,,zouwanocountry,,0.0,catvipernekomamushi,0.0,0.0,0.0
Cavendish,704.0,beautifulpirates;strawhatgrandfleet;bourgeoiskingdom,captainofthefirstshipofthestrawhatgrandfleet;piratecaptain;princeofthebourgeoiskingdom,grandline,Alive,208.0,,XF,,,bourgeoiskingdom,280000000.0,0.0,cavendish,1.0,1.0,0.0
CB Gallant,966.0,rogerpirates,pirate,,Unknown,,,,,,,,0.0,cbgallant,0.0,0.0,0.0
Cerberus,444.0,thrillerbarkpirates,wildzombie,,Deceased,,,,,,,,0.0,cerberus,0.0,0.0,0.0
Cerberus,1137.0,god'sknights,figarlandshamrock'ssword,,Alive,,,,,,,,0.0,cerberus,0.0,0.0,0.0
Chabo;Cabo ;Benson,69.0,nojiko'smikanfarm,laborer,eastblue,Alive,,,,,,gosavillage;cocoyasivillage,,0.0,chabo;cabo;benson,0.0,0.0,0.0
Chaka,155.0,arabastakingdom,commanderofroyalguards,grandline,Alive,213.0,,S,"Dog-Dog Fruit, Model: Jackal",Zoan,,,0.0,chaka,0.0,0.0,0.0
Chao,738.0,tontattakingdom;smilefactorytontattapirates,factoryworker;pirate,,Alive,,,,,,,,0.0,chao,0.0,0.0,0.0
Chappe,668.0,caesarclown,,,Alive,,,,,,,,0.0,chappe,0.0,0.0,0.0
Charlotte Akimeg,894.0,charlottefamily;bigmompirates,pirate;officer,,Alive,,,,,,,,0.0,charlotteakimeg,0.0,0.0,0.0
Charlotte Allmeg,894.0,charlottefamily;bigmompirates,pirate;officer,,Alive,,,,,,,,0.0,charlotteallmeg,0.0,0.0,0.0
Charlotte Amande,827.0,charlottefamily;bigmompirates,pirateofficer;ministerofnuts,,Alive,,,,,,nutsisland,,0.0,charlotteamande,0.0,0.0,0.0
Charlotte Anana,845.0,charlottefamily;bigmompirates,,,Alive,,,,,,,,0.0,charlotteanana,0.0,0.0,0.0
