name,apparition,affiliations,occupations,origin,status,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty,key,haki.observation,haki.armament,haki.conqueror
Belladonna,514.0,kuja,doctor,calmbelt,Alive,,,,,,amazonlily,,belladonna,0.0,0.0,0.0
Bellamy,222.0,donquixotepirates,dyer,,Alive,240.0,,F,Boing-Boing Fruit,Paramecia,dressrosanotice,55000000.0,bellamy,1.0,1.0,0.0
Belle-Mère,77.0,marines,mikanfarmer,eastblue,Deceased,186.0,,S,,,cocoyasivillage,,belle-mère,0.0,0.0,0.0
Belo Betty,904.0,revolutionaryarmy,eastarmycommanderoftherevolutionaryarmy,eastblue,Alive,196.0,,XF,Pump-Pump Fruit,Paramecia,baltigo,457000000.0,belobetty,1.0,1.0,0.0
Benn Beckman,1.0,redhairpirates,pirate,northblue,Alive,206.0,,X,,,,,bennbeckman,0.0,1.0,0.0
Bent,1134.0,walrusschool,student,,Alive,,,,,,elbaph,,bent,0.0,0.0,0.0
Bentham,129.0,newkamaland,queenofnewkamaland,eastblue,Alive,238.0,,F,Clone-Clone Fruit,Paramecia,,32000000.0,bentham,0.0,0.0,0.0
Bepo,498.0,heartpirates,pirate,zou,Alive,240.0,,S,,,zou,500.0,bepo,0.0,0.0,0.0
BeretBellett,537.0,unnamedkingdom,pirate,,Alive,,,,,,,,beretbellett,0.0,0.0,0.0
Berry,,,,,,,,,,,,,berry,0.0,0.0,0.0
Berry,,,,,,,,,,,,,berry,0.0,0.0,0.0
Berry,,,,,,,,,,,,,berry,0.0,0.0,0.0
Berry Good,426.0,marines,marinecaptain,,Alive,,,,Berry-Berry Fruit,Paramecia,,,berrygood,0.0,0.0,0.0
Bian,717.0,tontattakingdom,leaderofpinkbeesquad,,Alive,,,,"Bug-Bug Fruit, Model: Hornet",Zoan,,,bian,0.0,0.0,0.0
Biblo,1134.0,owllibrary,chieflibrarian,elbaph,Alive,,,,Grow-Grow Fruit,Paramecia,,,biblo,0.0,0.0,0.0
Big Bun,309.0,foxypirates,pirate,,Alive,,,,,,,,bigbun,0.0,0.0,0.0
Bimine,657.0,,mayor,,Alive,,,,,,pucci,,bimine,0.0,0.0,0.0
Bingoh,928.0,,priest,,Alive,,,,,,wanocountry,,bingoh,0.0,0.0,0.0
Birdy,101.0,poseidon,,,Alive,,,,,,calmbelt,,birdy,0.0,0.0,0.0
Bishamon,931.0,beastspirates,ninja,wanocountry,Alive,182.0,,XF,,,flowercapital;wanocountry,,bishamon,0.0,0.0,0.0
Bizarre,553.0,subordinateofthewhitebeardpirates,pirate,,Alive,,,,,,,,bizarre,0.0,0.0,0.0
Bjorn,1134.0,walrusschool,student,,Alive,,,,,,elbaph,,bjorn,0.0,0.0,0.0
Blackbeard,276.0,,doctor,,Unknown,,,,,,,,blackbeard,0.0,0.0,0.0
Black Maria,977.0,beastspirates,shinuchi,wanocountry,Alive,820.0,,S,"Spider-Spider Fruit, Rosamygale grauvogeli Model",Ancient Zoan,onigashima,480000000.0,blackmaria,1.0,1.0,0.0
Blade,1142.0,walrusschool,mathteacher,,Alive,,,,,,elbaph,,blade,0.0,0.0,0.0
Blamenco,553.0,whitebeardpirates,6thdivisioncommander,southblue,Alive,,,,Pocket-Pocket Fruit[4],Paramecia,,,blamenco,0.0,0.0,0.0
Blenheim,553.0,whitebeardpirates,9thdivisioncommander,grandline,Alive,,,,,,,,blenheim,0.0,0.0,0.0
Blockhead,334.0,,,,Alive,,,,,,water7,,blockhead,0.0,0.0,0.0
Blondie,558.0,subordinateofthewhitebeardpirates,pirate,,Alive,,,,,,,,blondie,0.0,0.0,0.0
Bluefan,516.0,kuja,pirate,calmbelt,Alive,,,,,,amazonlily,,bluefan,0.0,0.0,0.0
Blue Gilly,706.0,ideopirates,martialartist;pirate,grandline,Alive,314.0,,S,,,,,bluegilly,0.0,0.0,0.0
Bluegrass,1089.0,marines,viceadmiral,,Alive,,,,Ride-Ride Fruit,Paramecia,,,bluegrass,0.0,0.0,0.0
Bluejam,584.0,bluejampirates,pirate,eastblue,Unknown,261.0,,X,,,,14300000.0,bluejam,0.0,0.0,0.0
Bluemarine,967.0,rogerpirates,pirate,,Unknown,,,,,,,,bluemarine,0.0,0.0,0.0
Blueno,325.0,cp0,cipherpolagent,northblue,Alive,258.0,,X,Door-Door Fruit,Paramecia,,,blueno,1.0,1.0,0.0
Boa Hancock,516.0,kuja,piratecaptain,calmbelt,Alive,191.0,,S,Love-Love Fruit,Paramecia,amazonlilymarygeoise,80000000.0,boahancock,1.0,1.0,1.0
Boa Marigold,516.0,kuja,rulerofamazonlily,calmbelt,Alive,432.0,,S,Snake-Snake Fruit King Cobra Model,Zoan,amazonlilymarygeoise,40000000.0,boamarigold,1.0,1.0,0.0
Boa Sandersonia,516.0,kuja,rulerofamazonlily,calmbelt,Alive,453.0,,S,Snake-Snake Fruit Anaconda Model,Zoan,amazonlilymarygeoise,40000000.0,boasandersonia,1.0,1.0,0.0
Bobbin,651.0,bigmompirates,combatant,,Unknown,,,,,,wholecakeisland,105500000.0,bobbin,0.0,0.0,0.0
Bobby Funk,704.0,mogarokingdom,assassin,grandline,Alive,320.0,,X,,,,36000000.0,bobbyfunk,0.0,0.0,0.0
Bobomba,711.0,tontattakingdom,,,Alive,,,,,,,,bobomba,0.0,0.0,0.0
Bogard,92.0,,commissionedmarineofficer,,Alive,,,,,,,,bogard,0.0,0.0,0.0
Bomba,711.0,tontattakingdom,vicechief,,Alive,,,,,,,,bomba,0.0,0.0,0.0
Bongoh,928.0,,lumberdealer,,Alive,,,,,,wanocountry,,bongoh,0.0,0.0,0.0
Bonk Punch,1.0,redhairpirates,pirate,,Alive,,,,,,,,bonkpunch,0.0,0.0,0.0
Boo,704.0,happonavy,firstmateofthehapponavy,,Alive,,,,,,kanocountry,,boo,0.0,1.0,0.0
Boodle,12.0,,mayor,eastblue,Alive,172.0,,F,,,orangetown,,boodle,0.0,0.0,0.0
Boogie,1038.0,kidpirates,pirate,,Unknown,,,,,,,,boogie,0.0,0.0,0.0
Borsalino,504.0,marines,admiral,northblue,Alive,302.0,,XF,Glint-Glint Fruit,Logia,,,borsalino,1.0,1.0,0.0
Boss,233.0,,digger,,Alive,,,,,,,,boss,0.0,0.0,0.0
Bouche,880.0,wci31,headchef,,Alive,,,,,,,,bouche,0.0,0.0,0.0
Boxer,245.0,wapol,pet,,Alive,,,,,,,,boxer,0.0,0.0,0.0
Braham,249.0,shandia,shandiawarrior,skyislands,Alive,179.0,,X,,,,,braham,0.0,0.0,0.0
Brandnew,96.0,marines,commodore,grandline,Alive,190.0,,X,,,,,brandnew,0.0,0.0,0.0
Brew,561.0,whitebeardpirates,pirate,,Alive,,,,,,,,brew,0.0,0.0,0.0
Briscola,993.0,beastspirates,shinuchi,,Alive,,,,Gorilla Smile,Artificial Zoan,,,briscola,0.0,0.0,0.0
Brocca,561.0,whitebeardpirates,pirate,,Alive,,,,,,,,brocca,0.0,0.0,0.0
Brogy,115.0,giantwarriorpirates,piratecaptain,grandline,Alive,2130.0,,F,,,elbaphlittlegarden,100000000.0,brogy,0.0,0.0,0.0
Brontosaurus,115.0,,,grandline,Deceased,,,,,,littlegarden,,brontosaurus,0.0,0.0,0.0
Brook,442.0,strawhatpirates,musician,westblue,Alive,266.0,,X,Revive-Revive Fruit,Paramecia,floriantriangle,33000000.0,brook,0.0,0.0,0.0
Browndros Beardriguez Chadros Higelyges,581.0,caesarclown;centaurpatrolunit,leaderofthecentaurpatrolunit,grandline,Alive,691.0,,S,,,,80060000.0,browndrosbeardriguezchadroshigelyges,0.0,0.0,0.0
Bubblegum,1029.0,kidpirates,pirate,,Unknown,,,,,,,,bubblegum,0.0,0.0,0.0
Buckingham Stussy,802.0,rockspirates,pirate,grandline,Alive,68.0,,S,,,,,buckinghamstussy,0.0,0.0,0.0
Buckox,22.0,animalsoftheislandofrareanimals,,eastblue,Alive,,,,,,islandofrareanimals,,buckox,0.0,0.0,0.0
Buffalo,692.0,donquixotepirates,pirateofficer,northblue,Alive,696.0,,F,Spin-Spin Fruit,Paramecia,spidermiles,,buffalo,0.0,0.0,0.0
Buggy,9.0,crossguild,piratecaptain,grandline,Alive,192.0,,F,Chop-Chop Fruit,Paramecia,karaibariisland,15000000.0,buggy,0.0,0.0,0.0
Building Snake,41.0,redhairpirates,pirate,,Alive,,,,,,,,buildingsnake,0.0,0.0,0.0
Bulldog,1099.0,,king,,Alive,,,,,,sorbetkingdom,,bulldog,0.0,0.0,0.0
Bunbuku,911.0,,,,Alive,,,,"Dog-Dog Fruit, Model Tanuki",Zoan,amigasavillage;wanocountry,,bunbuku,0.0,0.0,0.0
Bunchi Bunch,114.0,baroqueworks,transportation,westblue,Alive,,,,,,,,bunchibunch,0.0,0.0,0.0
Bungoh,928.0,,arsonist,,Alive,,,,,,wanocountry,,bungoh,0.0,0.0,0.0
Bunkov,537.0,newkamaland,dancer;prisonerofthegreatprison,,Alive,,,,,,,,bunkov,0.0,0.0,0.0
Bunny Joe,546.0,revolutionaryarmy,revolutionary,,Alive,,,,,,,,bunnyjoe,0.0,0.0,0.0
Burn Scar The Man with the Burn Scar,1056.0,,,,Alive,,,,,,,,burnscarthemanwiththeburnscar,0.0,0.0,0.0
Burr,533.0,marinesg-1branch,marinelieutet,,Alive,,,,,,g-1,1000000.0,burr,0.0,0.0,0.0
Bushon,361.0,,stationmanager,,Alive,,,,,,,,bushon,0.0,0.0,0.0
Busshiri,391.0,oharaarchaeologists,archaeologist,,Deceased,,,,,,,,busshiri,0.0,0.0,0.0
ButchieBuchi,31.0,blackcatpirates,pirateofficer,eastblue,Alive,216.0,,X,,,,,butchiebuchi,0.0,0.0,0.0
Byron,501.0,,musician,westblue,Alive,192.0,130.0,,,,toroa,,byron,0.0,0.0,0.0
Cabaji,9.0,crossguild,pirate,eastblue,Alive,208.0,,X,,,karaibariisland,,cabaji,0.0,0.0,0.0
Caesar Clown,658.0,germakingdom,scientist,grandline,Alive,309.0,,X,Gas-Gas Fruit,Logia[13],punkhazard,300000000.0,caesarclown,0.0,0.0,0.0
Caiman Lady,1004.0,beastspirates,gifter,,Alive,,,,Caiman Smile,Artificial Zoan,,,caimanlady,0.0,0.0,0.0
Calicoach,842.0,,steed,,Alive,,,,,,germakingdom,,calicoach,0.0,0.0,0.0
Camel,695.0,blackbeardpirates,kuzan'stravelingcompanion,,Alive,,,,,,,,camel,0.0,0.0,0.0
Camie,195.0,takoyaki8;mermaidcafe,fashiondesigningapprenticetakoyakisellerwaitressatmermaidcafe,grandline,Alive,197.0,,X,,,mermaidcove,,camie,0.0,0.0,0.0
Cancer,96.0,marines,viceadmiral,,Alive,,,,,,,,cancer,0.0,0.0,0.0
Cans,569.0,allyofthewhitebeardpirates,pirate,,Alive,,,,,,,,cans,0.0,0.0,0.0
Capone Bege,498.0,firetankpirates,pirate,westblue,Alive,166.0,,S,Castle-Castle Fruit,Paramecia,,138000000.0,caponebege,0.0,0.0,0.0
Capone Pez,834.0,firetankpirates,,,Alive,,,,,,,,caponepez,0.0,0.0,0.0
Capote,306.0,foxypirates,pirate,,Alive,,,,,,,,capote,0.0,0.0,0.0
Carelesso,4.0,marines,marineseamanrecruit,eastblue,Alive,,,,,,shellstown,100000.0,carelesso,0.0,0.0,0.0
Caribou,600.0,cariboupirates,piratecaptain,northblue,Alive,228.0,,XF,Swamp-Swamp Fruit,Logia,,210000000.0,caribou,0.0,0.0,0.0
Carmel,861.0,underworld,childtrafficker,westblue,Deceased,185.0,,S,Soul-Soul Fruit,Paramecia,elbaphwholecakeisland,,carmel,0.0,0.0,0.0
Carne,45.0,baratie,charcutier,eastblue,Alive,171.0,,S,,,,,carne,0.0,0.0,0.0
Carrot,804.0,mokomodukedom;inuarashimusketeersquad,musketeer,grandline,Alive,161.0,,F,,,zou,,carrot,0.0,0.0,0.0
CarrotNinjin,23.0,usopppirates,pretendpirate,eastblue,Alive,127.0,,X,,,syrupvillage,,carrotninjin,0.0,0.0,0.0
Catacombo,602.0,marines≠,rearadmiral,,Alive,,,,,,sabaodyarchipelago≠,,catacombo,0.0,0.0,0.0
Catarina Devon,575.0,blackbeardpirates,pirate,southblue,Alive,361.0,,F,"Dog-Dog Fruit, Model: Nine Tailed Fox",Mythical Zoan,hachinosu,,catarinadevon,0.0,0.0,0.0
Cat ViperNekomamushi,809.0,mokomodukedom,rulerofmokomodukedom,grandline,Alive,522.0,,S,,,zouwanocountry,,catvipernekomamushi,0.0,0.0,0.0
Cavendish,704.0,beautifulpirates,captainofthefirstshipofthestrawhatgrandfleet,grandline,Alive,208.0,,XF,,,bourgeoiskingdom,280000000.0,cavendish,1.0,1.0,0.0
CB Gallant,966.0,rogerpirates,pirate,,Unknown,,,,,,,,cbgallant,0.0,0.0,0.0
Cerberus,444.0,thrillerbarkpirates,wildzombie,,Deceased,,,,,,,,cerberus,0.0,0.0,0.0
Cerberus,1137.0,god'sknights,figarlandshamrock'ssword,,Alive,,,,,,,,cerberus,0.0,0.0,0.0
Chabo,69.0,nojiko'smikanfarm,laborer,eastblue,Alive,,,,,,gosavillage,,chabo,0.0,0.0,0.0
Chaka,155.0,arabastakingdom,commanderofroyalguards,grandline,Alive,213.0,,S,"Dog-Dog Fruit, Model: Jackal",Zoan,,,chaka,0.0,0.0,0.0
Chao,738.0,tontattakingdom,factoryworker,,Alive,,,,,,,,chao,0.0,0.0,0.0
Chappe,668.0,caesarclown,,,Alive,,,,,,,,chappe,0.0,0.0,0.0
Charlotte Akimeg,894.0,charlottefamily,pirate,,Alive,,,,,,,,charlotteakimeg,0.0,0.0,0.0
Charlotte Allmeg,894.0,charlottefamily,pirate,,Alive,,,,,,,,charlotteallmeg,0.0,0.0,0.0
Charlotte Amande,827.0,charlottefamily,pirateofficer,,Alive,,,,,,nutsisland,,charlotteamande,0.0,0.0,0.0
Charlotte Anana,845.0,charlottefamily,,,Alive,,,,,,,,charlotteanana,0.0,0.0,0.0
Charlotte Angel,860.0,charlottefamily,pirateofficer,grandline,Alive,,,,,,tottoland,,charlotteangel,0.0,0.0,0.0
Charlotte Anglaise,845.0,charlottefamily,,,Alive,,,,,,,,charlotteanglaise,0.0,0.0,0.0
Charlotte Basans,862.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottebasans,0.0,0.0,0.0
Charlotte Bassquarte,860.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottebassquarte,0.0,0.0,0.0
Charlotte Bavarois,888.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottebavarois,0.0,0.0,0.0
Charlotte Brownie,845.0,charlottefamily,officer,,Alive,,,,,,,,charlottebrownie,0.0,0.0,0.0
Charlotte Broye,864.0,charlottefamily,pirateofficer,grandline,Alive,,,,,,milengeisland,,charlottebroye,0.0,0.0,0.0
Charlotte Brulee,831.0,charlottefamily,pirateofficer,grandline,Alive,350.0,,S,Mirror-Mirror Fruit,Paramecia,wholecakeisland,,charlottebrulee,0.0,0.0,0.0
Charlotte Cabaletta,845.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottecabaletta,0.0,0.0,0.0
Charlotte Cadenza,845.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottecadenza,0.0,1.0,0.0
Charlotte Chiboust,894.0,charlottefamily,pirateofficer,,Alive,,,,,,sanshokuisland,,charlottechiboust,0.0,0.0,0.0
Charlotte Chiffon,825.0,firetankpirates,cook,grandline,Alive,215.0,,F,,,funwariisland,,charlottechiffon,0.0,0.0,0.0
Charlotte Cinnamon,860.0,charlottefamily,pirateofficer,grandline,Alive,,,,,,,,charlottecinnamon,0.0,0.0,0.0
Charlotte Citron,861.0,charlottefamily,pirateofficer,grandline,Alive,,,,,,kimiisland,,charlottecitron,0.0,0.0,0.0
Charlotte Compo,864.0,charlottefamily,pirateofficer,,Alive,,,,,,piepieisland,,charlottecompo,0.0,0.0,0.0
Charlotte Compote,860.0,charlottefamily,pirateofficer,,Alive,,,,,,fruitsisland,,charlottecompote,0.0,0.0,0.0
Charlotte Cornstarch,865.0,charlottefamily,pirateofficer,,Alive,,,,,,lovingisland,,charlottecornstarch,0.0,0.0,0.0
Charlotte Counter,845.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottecounter,0.0,1.0,0.0
Charlotte Cracker,835.0,charlottefamily,sweetcommander,grandline,Alive,307.0,,X,Bis-Bis Fruit,Paramecia,biscuitsisland,860000000.0,charlottecracker,1.0,1.0,0.0
Charlotte Custard,862.0,charlottefamily,pirateofficer,grandline,Alive,,,,,,tottoland,,charlottecustard,0.0,0.0,0.0
Charlotte Dacquoise,854.0,charlottefamily,pirateofficer,,Alive,,,,,,jamisland,,charlottedacquoise,0.0,0.0,0.0
Charlotte Daifuku,861.0,charlottefamily,pirateofficer,grandline,Alive,489.0,,X,Puff-Puff Fruit,Paramecia,poriporiisland,300000000.0,charlottedaifuku,1.0,1.0,0.0
Charlotte De-Chat,845.0,charlottefamily,,,Alive,,,,,,,,charlottede-chat,0.0,0.0,0.0
Charlotte Dolce and Dragée,845.0,charlottefamily,,,Alive,,,,,,,,charlottedolceanddragée,0.0,0.0,0.0
Charlotte Dolce and Dragée,845.0,charlottefamily,,,Alive,,,,,,,,charlottedolceanddragée,0.0,0.0,0.0
Charlotte Dosmarche,861.0,charlottefamily,pirateofficer,,Alive,,,,,,blackisland,,charlottedosmarche,0.0,0.0,0.0
Charlotte Effiler,864.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlotteeffiler,0.0,0.0,0.0
Charlotte Flampe,891.0,charlottefamily,pirateofficer,grandline,Alive,170.0,,S,,,rokumitsuisland,,charlotteflampe,0.0,0.0,0.0
Charlotte Fuyumeg,894.0,charlottefamily,pirate,,Alive,,,,,,,,charlottefuyumeg,0.0,0.0,0.0
Charlotte Gala,,charlottefamily,,,Alive,,,,,,,,charlottegala,0.0,0.0,0.0
Charlotte Galette,829.0,charlottefamily,pirateofficer,,Alive,,,,Butter-Butter Fruit,Paramecia,margarineisland,,charlottegalette,0.0,0.0,0.0
Charlotte Hachee,871.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottehachee,0.0,0.0,0.0
Charlotte Harumeg,894.0,charlottefamily,pirate,,Alive,,,,,,,,charlotteharumeg,0.0,0.0,0.0
Charlotte High-Fat,862.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottehigh-fat,0.0,0.0,0.0
Charlotte Joconde,894.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottejoconde,0.0,0.0,0.0
Charlotte Joscarpone,845.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottejoscarpone,0.0,0.0,0.0
Charlotte Kanten,862.0,charlottefamily,pirateofficer,,Alive,,,,,,jellyisland,,charlottekanten,0.0,0.0,0.0
Charlotte Katakuri,860.0,charlottefamily,sweetcommander,grandline,Alive,509.0,,XF,Mochi-Mochi Fruit,Special Paramecia,komugiisland,1057000000.0,charlottekatakuri,1.0,1.0,1.0
Charlotte Laurin,864.0,charlottefamily,pirateofficer,,Alive,,,,,,,,charlottelaurin,0.0,0.0,0.0
Charlotte Linlin,651.0,bigmompirates,piratecaptain,grandline,Unknown,880.0,,X,Soul-Soul Fruit,Paramecia,wholecakeisland,50000000.0,charlottelinlin,1.0,1.0,1.0
