name,apparition,affiliations,occupations,origin,status,age,birthday,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty
Kicking Claw Force; Elite Alabastian Royal Guards[1],Chapter 196;Episode 120[1],Arabasta Kingdom[1],Guards[1],,Deceased,,,,,,,,,
Arthur,Chapter 556[1],Whitebeard Pirates[1],Pirate;Captain[1],,Alive,,,,,,,,,
,Chapter 292;Episode 189[1],Lvneel Kingdom[1],King[1],North Blue,Deceased,,,,,,,,,
Heercomes Dasun,Chapter 483;Episode 375[1],Marines[1],Chief Petty Officer[2],,Alive,,,,,,,,,"At least100,000[3]"
,Chapter 930;Episode 924[1],,Soba Shop Owner[1],,Alive,,,,,,,,Wano Country(Flower Capital)[1],
Ashura Doji,Chapter 920;Episode 910[1],Mt. Atama Thieves;[2]Kouzuki Family;[3]Nine Red Scabbards[4];Ninja-Pirate-Mink-Samurai Alliance(disbanded),Bandit;[5]Retainer of the Kouzuki Family; Yakuza Boss (former);[6]Samurai[7],Grand Line(Wano Country),Deceased,,April 10th[9],"544 cm (17'10½"")[10]",,X[9],,,Wano Country (Kuri:Mt. Atama),
Aswa,Chapter 163;Episode 100[1],Neutral civilian,,,Unknown,,,,,,,,Arabasta[1],
,Chapter 915;Episode 902[1],,Sumo Wrestler[1],,Alive,,,,,,,,Wano Country(Bakura Town),
Atlas,Chapter 1062;Episode 1091[1],Marines(SSG),,Grand Line(Egghead)[2],Alive,2 (biologically 16)[2],March 22nd[2],"729cm (23'11"")[2]",,S[2],,,Egghead,
Atmos,Chapter 553;[1]Episode 461[2],Whitebeard Pirates[1],13th DivisionCommander;Pirate[3],West Blue[5],Alive,,March 19th[4],,,,,,,
AtatchiAttach (WT100),SBS Volume 24;Chapter 436;[1]Episode 139[2],World Economy News Paper;MarinesPhotography Department (former)[3],Reporter; Marine Photography Department chief (former)[3],,Unknown,,,,,,,,,
Avalo Pizarro,Chapter 575;Episode 484[1],Blackbeard Pirates[1];Impel Down(former),Pirate[1];Titanic Captain(Captain of the Fourth Ship); Prisoner of the Great Prison (former);King(former),North Blue[2],Alive,40 (debut)42 (after timeskip)[2],September 30th[3],"505 cm (16'6"")[2]",,X[2],Isle-Isle Fruit,Paramecia,Hachinosu[5],Unknown[4]
Eiyess Emmar,SBS Volume 105(mentioned),Marines[1],Okakiartisan[1],,Alive,,,,,,,,South Blue[1],
,Chapter 940;Episode 936[1],,,,Alive,,,,,,,,"Ebisu Town,Wano Country[1]",
Babanuki,Chapter 934;Episode 930[1],Beasts Pirates[1];Tama[2];Ninja-Pirate-Mink-Samurai Alliance(disbanded),Shinuchi; Warden of the Prisoner Mine[3],,Alive,,,,,,ElephantSMILE,Artificial Zoan,,
Babe,Chapter 160;Episode 103[1],New Spiders Cafe;Baroque Works[1](former),Cafe Delivery Boy[2];Officer Agent[1](former),Grand Line[3],Alive,28 (debut)30 (after timeskip)[3],June 19th[4],"218 cm (7'2"")[3]",,F[3],,,,"3,200,000[3]"
Baburu,Chapter 690(cover);Episode 921[1],,,Grand Line,Alive,,,,,,,,,
Baby 5Baby Five (WT100),Chapter 682;Episode 608[1],Happo Navy;[2]Chinjao Family;[3]Straw Hat Grand Fleet;Donquixote Pirates(defected),Pirate; PirateOfficer(former); Servant (former);Assassin(former),North Blue[4],Alive,24[5][6],May 15th[7],"181 cm (5'11¼"")[4]",,XF[4],Arms-Arms Fruit,Paramecia,Kuen Village(former);Spider Miles(former);Dressrosa(former);Kano Country,
"Bacura (VIZ, Funimation),Bakula (Funimation subtitles)",Chapter 516;Episode 410[1],Kuja[1],Pet; Executioner[2],Calm Belt(Amazon Lily)[3],Alive,,November 29th[3],,,,,,Amazon Lily,
Baggaly (WT100),Chapter 561[1],Whitebeard Pirates[1],Pirate Captain[1],,Alive,,,,,,,,,
Bazeko,Chapter 668;Episode 594[1],Marines;G-5[1],Marine Officer,,Alive,,,,,,,,G-5,
,Chapter 823;Episode 777[1],Levely[2],Queen[2],East Blue,Alive,,,,,,,,Frauce Kingdom[3],
Bunchi (Viz)Bunch (WT100)[1],Chapter 114;Episode 67[2],Baroque Works[3],Transportation,West Blue[4],Alive,,,,,,,,,
Bankina (WT100);Banchina (Live-Action Series),Chapter 41;Episode 17[1],,,East Blue(Syrup Village)[2],Deceased,,December 17th[2],,,,,,,
Bancro,Chapter 967[1];Episode 959[2],Roger Pirates[1],Pirate[1],,Unknown,,,,,,,,,
Banshee,Chapter 552;Episode 461[1],Spade Pirates[1],,,Alive,Over 30[2],,,,,,,,
Banzaburo,Chapter 960;Episode 960[1],Kouzuki Family,Retainer of the Kouzuki Family; Food taster,,Deceased,,,,,,,,Wano Country,
"Gyoro, Nin, Bao",Chapter 449;Episode 343[1],Thriller Bark Pirates,Soldier Zombies[citation needed],,Deceased,,,,,,,,,
Bao Huang,Chapter 979;Episode 985[1],Beasts Pirates[1],Shinuchi;Mary; Scheduler[1],,Alive,,,,,,Flying SquirrelSMILE,Artificial Zoan,,
Bariete,Chapter 804;Episode 753[1],Mokomo Dukedom(Recon Squad);Ninja-Pirate-Mink-Samurai Alliance,Recon Squad[2]; Guard[3],,Alive,,,,,,,,Zou,
Kicking Claw Force; Elite Alabastian Royal Guards[1],Chapter 196;Episode 120[1],Arabasta Kingdom[1],Guards[1],,Deceased,,,,,,,,,
Barry,Chapter 552;Episode 461[1],Spade Pirates[1],Pirate[1],,Alive,,,,,,,,,
Bartholomew Kuma,Chapter 233;Episode 151[1],Revolutionary Army;Freedom Fighters(former);Seven Warlords of the Sea(former);[1]Sorbet Kingdom(former),Army Commander of the Revolutionary Army; Slave (former); Warlord of the Sea (former);[1]Kingof Sorbet Kingdom (former);Pastor(former)[2],South Blue(Sorbet Kingdom)[3],Alive,45 (debut)[8]47 (after timeskip)[9],February 9th[9],"689 cm (22'7"")[8][9]",,X[3],Paw-Paw Fruit,Paramecia,"Sorbet Kingdom(former);Baltigo(former);Egghead(former, temporary);Mary Geoise(former);Sabaody Archipelago(former, temporary)","296,000,000[10]"
Bartolomeo,Chapter 705;[1]Episode 633[2],Barto Club; his own Mafia Family (former);[3]Straw Hat Grand Fleet[4],Captain of the Second Ship of theStraw Hat Grand Fleet;[4]Pirate Captain; Mafia Leader (former)[3],East Blue[5],Unknown,24[5][7],October 6th[5],"220 cm (7'3"")[5]",,X[8],Barrier-Barrier Fruit (VIZ and Funimation subs);Bari-Bari Fruit (Funimation dub),Paramecia,,"200,000,000[9]150,000,000[10]"
Baskerville,Chapter 379;Episode 267[1],World Government(Enies Lobby)[1],Chief Justices of Enies Lobby[1],Grand Line[2],Unknown,Bas: 48[2]And: 53[2]Kerville: 42[2],Bas: March 30th[2]And: March 31st[2]Kerville: April 1st[2],"512 cm (16'9½"") (combined)[2]",,Bas: X[2]And: XF[2]Kerville: F[2],,,,
Basil Hawkins,Chapter 498;Episode 392[1],Hawkins Pirates;[1]Beasts Pirates[2],Pirate;Captain;[1]Shinuchi,North Blue[1],Unknown,29 (debut)[3]31 (after timeskip)[4],September 9th[5],"210 cm (6'10½"") (debut, after timeskip)[3]",,S[4],Straw-Straw Fruit,Paramecia,,"320,000,000[6]249,000,000[7]"
Basilisk,Chapter 528;Episode 425[1],"World Government,Impel Down[1]",Level 2 Guardian[1],West Blue[2],Alive,,,,,,,,,
Bastille,Chapter 553;Episode 462[1],Marines[1],Vice Admiral[1],Grand Line[3],Alive,36 (debut)38 (after timeskip)[3],July 14th[3],"291 cm (9'7"")[3]",,F[3],,,,"At least ★★★★★(At least500,000,000)[4]"
Bacchy[1],Chapter 43;Episode 20[2],,,East Blue[3],Unknown,,July 1st[3],,,,,,,
Bat-Man (Viz)Batman (Funimation),Chapter 914;Episode 900[1],Beasts Pirates[1],Gifter[1],,Alive,,,,,,BatSMILE,Artificial Zoan,,
,Chapter 980;[1]Episode 1006[2],Beasts Pirates;[1]Kurozumi Tama[3],Gifter[1],,Alive,,,,,,Gastrimargus GrasshopperSMILE,Artificial Zoan,,
Baxcon,Chapter 718;Episode 648[1],Tontatta KingdomScouting Unit[2];Tontatta Pirates;Straw Hat Grand Fleet,Scout[2];Pirate[3],,Alive,,,,,,,,,
,Chapter 599;Episode 518[1],,Fishmonger; Fisherman[1],,Alive,,,,,,,,Sabaody Archipelago[1],
,Chapter 980;[1]Episode 1006[2],Beasts Pirates;[1]Kurozumi Tama[3],Gifter[1],,Alive,,,,,,WaspSMILE,Artificial Zoan,,
Beer VI,Chapter 823;Episode 777[1],,Kingof theRoshwan Kingdom[2],,Alive,,,,,,,,Roshwan Kingdom[2],
,Chapter 983;Episode 991[1],Beasts Pirates[1],Gifter[1],,Alive,,,,,,Rhinoceros BeetleSMILE,Artificial Zoan,,
Bekori,Chapter 1097;Episode 1131[1],,King(former),,Unknown,,,,,,,,Sorbet Kingdom,
Belo Betty,Chapter 904;Episode 880[1],Revolutionary Army(East Army)[1],East Army Commander of the Revolutionary Army[1],East Blue[2],Alive,34[2],June 15th[3],"196 cm (6'5"")[2]",,XF[2],Pump-Pump Fruit,Paramecia,Baltigo(former);Momoiro Island,"457,000,000[2]"
Belladonna,Chapter 514;Episode 408[1],Kuja[1],Doctor[1][2],Calm Belt(Amazon Lily)[3],Alive,,October 26th[3],,,,,,Amazon Lily,
Bellamy,Chapter 222;Episode 146[1],Donquixote Pirates(former);[2]Bellamy Pirates[3](former)[2],Dyer;Pirate Captain[3](former)[2],,Alive,25 (debut)27 (after timeskip)[6],August 7th[5],"240 cm (7'10"")[6]",,F[6],Boing-Boing Fruit (VIZ); Spring-Spring Fruit (Funimation),Paramecia,Dressrosa(former)Notice(former),"195,000,000[2]55,000,000[3]"
Beret(WT100)Bellett(OPCG),Chapter 537;Episode 439[1],Unnamed kingdom (former)[1],Pirate;Prince(former)[1],,Alive,,,,,,,,,
Belle-Mère (VIZ Media);Bellemere (Funimation)Bell-mère (OPCG),Chapter 77;[1]Episode 32[2],Marines(former),Mikan Farmer;MarineOfficer(former),East Blue(Conomi Islands)[5],Deceased,,December 3rd[4],"186 cm (6'1"")[5]",,S[5],,,Cocoyasi Village,
"Benn Beckman;Ben Beckman (VIZ, formerly)",Chapter 1;Episode 4[1],Red Hair Pirates[1],Pirate;[1]First Mate[2],North Blue[4],Alive,38 (debut);48 (pre-timeskip);50 (after timeskip)[4],November 9th[3],"206 cm (6'9"")[4]",,X[4],,,,Unknown[5]
Bent,Chapter 1134[1],Walrus School[1],Student[1],,Alive,,,,,,,,Elbaph[1],
Bentham,Chapter 129;Episode 78[1],Newkama Land;[2]Baroque Works[3](former),Queen ofNewkama Land;[2]Officer Agent[3](former); Prisoner of the Great Prison,East Blue[4],Alive,30 (debut)32 (after timeskip)[4],August 15th[5],"238 cm (7'10"")[4]",,F[4],Clone-Clone Fruit,Paramecia,,"32,000,000[6]"
Bepo,Chapter 498;Episode 392[1],Heart Pirates;Ninja-Pirate-Mink-Samurai Alliance(disbanded),Pirate;Navigator;[2]Guardians' helper[3],Zou(Mokomo Dukedom)[4],Alive,20 (debut)22 (after timeskip)[5],November 20th (Fur Day)[6],"240 cm (7'10"")[7]",,S[7],,,Zou(former);Swallow Island(former),"1,500[8]500[9]"
Bian,Chapter 717;Episode 647[1],Tontatta Kingdom;[1]Tontatta Pirates;Straw Hat Grand Fleet[2],Leader of Pink Bee Squad;[3]Pirate[4],,Alive,,,,,,"Bug-Bug Fruit, Model: Hornet",Zoan,,
Biblo,Chapter 1134[1],Owl Library,Chief Librarian[2],Elbaph,Alive,Multiple centuries[2],,,,,Grow-Grow Fruit,Paramecia,,
Big Bun (Viz);Big Pan (Funimation),Chapter 309;Episode 210[1],Foxy Pirates;Groggy Monsters[1],Pirate;Combatant[2],,Alive,,May 25th[2],,,,,,,
,Loguetown Arc (Novel)[1],Yes Pirates[1],Pirate Captain[1],,Alive,,,,,,,,,"3,000,000"
Bimine,Chapter 657(cover)[1],,Mayor[2],,Alive,,,,,,,,Pucci[2],
Bingoh,Chapter 928;Episode 921[3],,Priest (former); Cooper (former)[1]; Graverobber (former)[2],,Alive,,,,,,,,Wano Country[3](Ebisu Town)[4],
Birdy (Funimation);[1]Bird Neptunian (OPCG),Chapter 101;Episode 55;[2]We Are!,Poseidon[3],,,Alive,,,,,,,,Calm Belt[2],
Bishamon,Chapter 931;Episode 925[1],Beasts Pirates;[2]Orochi Oniwabanshu(former);Kurozumi Family(former)[1],Ninja;[1]Pirate,Wano Country[3],Alive,28[3],August 1st[3],"182 cm (6'0"")[4]",,XF[3],,,"Flower Capital, Wano Country",
,Chapter 998;Episode 1013[1],Beasts Pirates,Gifter,,Alive,,,,,,PythonSMILE,Artificial Zoan,Onigashima,
,Chapter 993;Episode 1006[1],Beasts Pirates(Armored Division);[1]Kurozumi Tama[2],Shinuchi[3],,Alive,,,,,,HedgehogSMILE,Artificial Zoan,,
Beeyo (Viz);Biyo (Funimation subs),Chapter 658;Episode 583[1],,,,Alive,,,,,,,,,
Bizarre,Chapter 553;Episode 468[1],Subordinate of theWhitebeard Pirates[1],Pirate;Captain[1],,Alive,,February 3rd[2],,,,,,,
"Giant Pirates;Giant Pirate Warrior Band / Pirate Giants / Giant Pirate Crew (VIZ, former);Giant Warrior Pirates (Funimation, former)",,,,,,,,,,,,,,
Bjorn,Chapter 1134[1],Walrus School[1],Student[1],,Alive,,,,,,,,Elbaph[1],
Black Maria,Chapter 977;Episode 982[1],Beasts Pirates(Tobiroppo),Shinuchi; Brothel owner[2],Wano Country[3],Alive,29[4],September 24th[3],"820 cm (26'11"")[4]",,S[3],"Spider-Spider Fruit, Rosamygale grauvogeli Model",Ancient Zoan,Onigashima[2],"480,000,000[3]"
BB (Blackback)BB (Black Back) (WT100),Chapter 805;Episode 754[1],Mokomo Dukedom;Guardians;[2];Ninja-Pirate-Mink-Samurai Alliance(disbanded),Guardian[2],,Alive,,,,,,,,Zou(Whale Forest)[2],
Blade,Chapter 1142[1],Walrus School[1],Math Teacher[1],,Alive,,,,,,,,Elbaph(Sun World)[1],
,Chapter 649;Episode 569[1],Fish-Man Island[1],Drummer[1],Grand Line(Ryugu Kingdom;Fish-Man Island),Alive,,,,,,,,Ryugu Kingdom,
Blamenco,Chapter 553;Episode 461[1],Whitebeard Pirates[1],6th DivisionCommander;Pirate[1],South Blue[3],Alive,,February 5th[2],,,,Pocket-Pocket Fruit[4],Paramecia,,
Blenheim,Chapter 553;Episode 461[1],Whitebeard Pirates[1],9th DivisionCommander[2];Pirate[1],Grand Line[4],Alive,,August 6th[3],,,,,,,
Blondie,Chapter 558;Episode 468[1],Subordinate of theWhitebeard Pirates[1],Pirate;Captain[1],,Alive,,February 6th[2],,,,,,,
Bluefan,Chapter 516;Episode 410[1],Kuja;Kuja Pirates[1],Pirate[1],Calm Belt(Amazon Lily)[2],Alive,,July 11th[2],,,,,,Amazon Lily,
Blue Gilly (Viz);Bluegilly (WT100)[1],Chapter 706;Episode 636[2],Ideo Pirates[3][4];Straw Hat Grand Fleet,"Martial Artist,Pirate[4]",Grand Line[6],Alive,24[6],November 27th[5],"314 cm (10'3½"")[6]",,S[6],,,,
Bluegrass,Chapter 1089;Episode 1123[1],Marines[1],Vice Admiral[1],,Alive,Over 76[2],,,,,Ride-Ride Fruit,Paramecia,,"At least ★★★★★(At least500,000,000)[3]"
Bluejam,Chapter 584;Episode 494[1],Bluejam Pirates[1],Pirate;Captain[1],East Blue(Goa Kingdom)[2],Unknown,42 (debut)[2],February 16th[3],"261 cm (8'7"")[2]",,X[2],,,,"14,300,000[2]"
Blueno,Chapter 325;Episode 230[1],CP0;[2]CP9[3](former),Cipher PolAgent;[4]Bartender (undercover)[5],North Blue[6],Alive,30 (debut)[7]32 (after timeskip)[6],April 20th[8],"258 cm  (8'5½"")[6]",,X[6],Door-Door Fruit,Paramecia,,
Bluemarine,Chapter 967[1];Episode 959[2],Roger Pirates,Pirate,,Unknown,,,,,,,,,
Boa Hancock,Chapter 516;[1]Episode 409,Kuja(Kuja Pirates);Seven Warlords of the Sea(former)[1],Pirate Captain; Empress ofAmazon Lily;Warlord of the Sea(former);Slave(former)[2],Calm Belt(Amazon Lily)[3],Alive,29 (debut)[5]31 (after timeskip)[6],September 2nd[7],"191 cm (6'3"") (debut, after timeskip)[5][6]",,S[3],Love-Love Fruit,Paramecia,Amazon LilyMary Geoise(former),"1,659,000,000[8]80,000,000[9]"
Boa Marigold,Chapter 516;Episode 409[1],Kuja(Kuja Pirates)[1],Ruler ofAmazon Lily;Slave(Former)[2],Calm Belt(Amazon Lily)[3],Alive,26 (debut)28 (after timeskip)[3],September 5th[4],"432 cm (14'2"")[3]",,S[3],Snake-Snake Fruit King Cobra Model (VIZ Media);Snake-Snake Fruit: Model King Cobra (Funimation),Zoan,Amazon LilyMary Geoise(former),"40,000,000[3]"
Boa Sandersonia,Chapter 516;Episode 409[1],Kuja(Kuja Pirates)[1],Ruler ofAmazon Lily;Slave(former)[2],Calm Belt(Amazon Lily)[3],Alive,28 (debut)30 (after timeskip)[3],September 3rd[4],"453 cm (14'10"")[3]",,S[3],Snake-Snake Fruit Anaconda Model (VIZ Media);Snake-Snake Fruit: Model Anaconda (Funimation),Zoan,Amazon LilyMary Geoise(former),"40,000,000[3]"
Bobbin,Chapter 651;Episode 571[1],Big Mom Pirates[1],Combatant,,Unknown,,,,,,,,Whole Cake Island,"105,500,000[3]"
Bobby Funk,Chapter 704;[1]Episode 632[2],Mogaro Kingdom[3],Assassin,Grand Line(Mogaro Kingdom)[4],Alive,33[4],February 19th[5],"320 cm (10'6"")[4]",,X[4],,,,"36,000,000[4]"
Bobomba,Chapter 711;Episode 641[1],Tontatta Kingdom[1];Straw Hat Grand Fleet(Tontatta Pirates),,,Alive,,,,,,,,,
Bogard,Chapter 92(cover);Episode 68[1],,Commissioned Marine Officer[1],,Alive,Over 38[2],,,,,,,,
,Chapter 652[1];Episode 589[2],Marines;G-5[1],MarineOfficer,,Alive,,,,,,,,G-5,
Bomba,Chapter 711;Episode 641[1],Tontatta Kingdom[1];Tontatta Pirates;[2]Straw Hat Grand Fleet[3],"Vice Chief(副長,Fukuchō?);[4]Pirate[5]",,Alive,,August 14th[6],,,,,,,
Bongoh,Chapter 928;Episode 921[1],,Lumber Dealer (former)[2]; Graverobber (former)[3],,Alive,,,,,,,,Wano Country(Ebisu Town)[4],
Bonk Punch,Chapter 1;Episode 4[1],Red Hair Pirates[1],Pirate;Senior Officer;[1]Musician[2],,Alive,,,,,,,,,
Boo,Chapter 704[1];Episode 632[2],Happo Navy;Chinjao Family;Straw Hat Grand Fleet,First Mateof the Happo Navy;[3]Martial Artist(Viz: Fighter)[4],,Alive,Under 28[5],August 20th[6],,,,,,Kano Country,
Boodle,Chapter 12;Episode 6[1],,Mayor,East Blue(Organ Islands)[3],Alive,73 (debut)75 (after timeskip)[3],January 16th[2],"172 cm (5'8"")[3]",,F[3],,,Orange Town,
Boogie,Chapter 1038;Episode 1065[1],Kid Pirates[1],Pirate[1],,Unknown,,,,,,,,,
Borsalino,Chapter 504;Episode 398[1],Marines[2],Admiral;[2]Vice Admiral(former)[3],North Blue[4],Alive,56 (debut)58 (after timeskip)[5],November 23rd[6],"302 cm (9'11"")[4]",,XF[4],Glint-Glint Fruit,Logia,,"(3,000,000,000)[7]"
Supersonic Duck SquadronSuper Spot-Billed Duck Troops (OPCG),,,,,,,,,,,,,,
Braham,Chapter 249;Episode 163[1],Shandia; God's Guards[2],ShandiaWarrior; God's Guard[2],Sky Islands(Skypiea)[3],Alive,22 (debut)24 (after timeskip)[3],October 10th[3],"179 cm (5'10"")[3]",,X[3],,,,
Kicking Claw Force; Elite Alabastian Royal Guards[1],Chapter 196;Episode 120[1],Arabasta Kingdom[1],Guards[1],,Deceased,,,,,,,,,
Brandnew (FUNimation and Crunchyroll Simulcast; Formerly Viz);[1]Brannew (Current Viz Manga)[2],Chapter 96;Episode 45[1],Marines[1],Commodore;[2]Lieutenant Commander[1](former),Grand Line[4],Alive,54 (debut)56 (after timeskip)[4],September 3rd[3],"190 cm (6'3"")[4]",,X[4],,,,"At least ★(At least100,000,000)[5]"
Brew,Chapter 561;Episode 470[1],Whitebeard Pirates[1],Pirate;Captain[1],,Alive,,,,,,,,,
Briscola,Chapter 993;[1]Episode 982[2],Beasts Pirates[1],Shinuchi[1],,Alive,,,,,,GorillaSMILE,Artificial Zoan,,
Brocca,Chapter 561;Episode 470[1],Whitebeard Pirates[1],Pirate;Captain[1],,Alive,,,,,,,,,
"Brogy (VIZ, Odex);Broggy (Funimation, formerly VIZ)",Chapter 115;Episode 71,Giant Warrior Pirates,Pirate Captain,Grand Line(Elbaph)[2],Alive,158 (debut)[1]160 (after timeskip)[2],February 1st[3],"2130 cm (69'10"")[2]",,F[2],,,ElbaphLittle Garden(former),"1,800,000,000[4]100,000,000[5]"
Brontosaurus,Chapter 115[1],,,Grand Line(Little Garden)[2],Deceased,,November 19th[2],,,,,,Little Garden,
